"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Shuumatsu no Walküre,6.74,8.11,-1.3699999,5183,539,126277,Jun 2021 - Jun 2021,Nov 2017 - Dec 2023
"Tantei wa Mou, Shindeiru.",6.37,7.74,-1.3699999,7066,1469,6733,Jul 2021 - Sep 2021,Nov 2019 - Dec 2023
Hantsu x Trash,5.13,6.52,-1.3899999,11792,14808,13824,Oct 2015 - Nov 2016,Jul 2012 - Jan 2020
Wild 7,6.19,7.6,-1.4099998,7965,2167,351,Dec 1994 - Feb 1995,Sep 1969 - Jun 1979
Infinite Dendrogram,6.19,7.61,-1.4200001,7982,2106,3313,Jan 2020 - Apr 2020,Nov 2016 - Dec 2023
Tsuki no Sango,6.15,7.57,-1.4200001,8158,2340,2116,Dec 2010 - Dec 2010,Jul 2012 - Jan 2019
Umineko no Naku Koro ni,7.05,8.49,-1.4399996,3811,146,5906,Jul 2009 - Dec 2009,Jul 2009 - Aug 2010
Joshikausei,5.81,7.25,-1.44,9688,5214,10607,Apr 2019 - Jun 2019,Sep 2013 - Dec 2023
Shuten Douji,5.64,7.08,-1.44,10376,7321,668,Dec 1989 - Dec 1991,Aug 1976 - Apr 1978
Buddy Go!,6.18,7.62,-1.44,7989,2038,5434,Apr 2016 - Apr 2016,Sep 2014 - May 2018
Minegishi-san wa Ootsu-kun ni Tabesasetai,6.07,7.51,-1.44,8535,2724,2217,May 2020 - Jun 2020,Oct 2019 - Feb 2021
Dragon Quest: Dai no Daibouken,6.51,7.96,-1.4499998,6333,805,11424,Jul 1991 - Jul 1991,Oct 1989 - Nov 1996
Magma Taishi,5.9,7.36,-1.46,9330,3983,599,Feb 1993 - Jun 1993,May 1965 - Aug 1967
Shin Angyo Onshi,6.84,8.32,-1.4799995,4704,273,33670,Dec 2004 - Dec 2004,Mar 2001 - Aug 2007
Sekishoku Elegy,5.74,7.22,-1.48,9951,5565,3435,Jun 2007 - Jun 2007,Nov 1969 - Nov 1970
Kidou Senshi Gundam-san,6.17,7.65,-1.48,8068,1909,1186,Jul 2014 - Sep 2014,Aug 2005 - Dec 2023
Five Star Stories,6.58,8.07,-1.4899998,5986,617,5432,Mar 1989 - Mar 1989,Apr 1986 - Dec 2023
Dragon Quest Retsuden: Roto no Monshou,5.8,7.3,-1.5,9736,4605,1224,Apr 1996 - Apr 1996,Nov 1991 - Jul 1997
Yumekuri,5.44,6.94,-1.5,11025,9400,3342,Nov 2012 - Nov 2012,Jan 2012 - Dec 2016
Hidan no Aria AA,6.21,7.73,-1.52,7840,1515,421,Oct 2015 - Dec 2015,Jan 2015 - Dec 2023
Urasekai Picnic,6.62,8.14,-1.5200005,5744,495,2054,Jan 2021 - Mar 2021,Feb 2017 - Dec 2023
Land,5.53,7.06,-1.5299997,10725,7621,1252,Oct 2013 - Oct 2013,Mar 2014 - Jul 2020
Pugyuru,5.73,7.26,-1.5300002,10008,5112,784,Apr 2004 - Jul 2004,Apr 2001 - Mar 2008
Kyoushoku Soukou Guyver,6.19,7.74,-1.5499997,7936,1490,3673,Dec 1986 - Dec 1986,Jan 1985 - Apr 2016
Happy World!,5.96,7.51,-1.5500002,9058,2771,4423,Dec 2002 - Jun 2003,May 2000 - May 2006
Devilman,6.49,8.04,-1.5500002,6477,664,50847,Jul 1972 - Apr 1973,Jun 1972 - Jun 1973
Saint Seiya: Saintia Shou,5.6,7.18,-1.5799999,10521,6085,3672,Dec 2018 - Feb 2019,Aug 2013 - Jul 2021
Kobayashi ga Kawai sugite Tsurai!!,6.15,7.75,-1.5999999,8139,1423,9119,Jul 2013 - Mar 2014,Aug 2012 - Dec 2015
Mugen no Juunin,6.82,8.43,-1.6100001,4765,177,76888,Jul 2008 - Dec 2008,Jun 1993 - Dec 2012
Tenshi Kinryouku,6.27,7.91,-1.6399999,7601,927,25155,May 2000 - Aug 2000,Jul 1994 - Oct 2000
"7 Seeds",6.56,8.21,-1.6500001,6045,393,21581,Jun 2019 - Jun 2019,Oct 2001 - May 2017
Sugar*Soldier,5.77,7.42,-1.6500001,9842,3416,8976,Jan 2014 - Jan 2014,Aug 2011 - Jun 2015
Hirano to Kagiura,6.72,8.41,-1.69,5250,190,7688,Feb 2023 - Feb 2023,Mar 2019 - Dec 2023
Kusatta Kyoushi no Houteishiki,5.97,7.66,-1.69,9006,1869,1769,Nov 1994 - Nov 1995,Dec 1993 - Jun 2002
It's My Life,5.67,7.36,-1.69,10231,3972,8988,Jan 2019 - Jan 2019,Dec 2014 - Sep 2018
Super Secret,6.13,7.84,-1.71,8247,1127,8163,May 2020 - Feb 2021,Mar 2015 - Jan 2018
Romantica Clock,5.68,7.41,-1.73,10180,3532,8645,Feb 2014 - Feb 2014,Aug 2012 - Apr 2016
Baraou no Souretsu,6.33,8.06,-1.7300005,7236,629,17146,Jan 2022 - Jun 2022,Oct 2013 - Jan 2022
Tesla Note,4.66,6.41,-1.75,12439,15658,2220,Oct 2021 - Dec 2021,Jan 2021 - Apr 2022
Ozmafia!!,5.46,7.22,-1.7599998,10971,5530,1791,Jul 2016 - Sep 2016,Oct 2012 - May 2015
I''s,5.9,7.67,-1.77,9323,1790,31291,Dec 2002 - Mar 2003,Apr 1997 - May 2000
Saiyuuki,6.22,8.01,-1.7900004,7789,712,17145,Aug 1960 - Aug 1960,Feb 1997 - Jan 2002
Muv-Luv Alternative,5.8,7.6,-1.7999997,9712,2180,3952,Oct 2021 - Dec 2021,Aug 2007 - Apr 2017
Suki desu Suzuki-kun!!,5.9,7.73,-1.8299999,9343,1533,12426,Dec 2009 - Jul 2010,Aug 2008 - Jun 2012
Tenshi Nanka ja Nai,6.12,7.97,-1.8499999,8316,793,6260,Sep 1994 - Sep 1994,Sep 1991 - Nov 1994
Boyfriend,5.6,7.45,-1.8499999,10493,3181,8174,Feb 1992 - Feb 1992,Mar 2009 - Jan 2010
Ganbare! Memeko-chan,5.19,7.05,-1.8600001,11672,7793,298,Aug 2008 - Aug 2008,Sep 2004 - Apr 2010
