"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
109,From a Knight to a Lady,6432,Manhwa,?,Mar 2021 -,2310,https://myanimelist.net/manga/147574/From_a_Knight_to_a_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/2/261789.jpg?s=5704349109135277db992f6b3496bf09,7.15,Mar 2021 - Dec 2023
110,Daydream★Nightmare,9403,Manga,"2",Nov 2011 -,1500,https://myanimelist.net/manga/41385/Daydream★Nightmare,https://cdn.myanimelist.net/r/100x140/images/manga/2/72527.jpg?s=1332ebe0a42fa0196fe2abd6cf99fc89,6.94,Nov 2011 - Dec 2023
111,One Piece,4,Manga,?,Jul 1997 -,573384,https://myanimelist.net/manga/13/One_Piece,https://cdn.myanimelist.net/r/100x140/images/manga/2/253146.jpg?s=b7465f50607202245754c4a8ab34be52,9.22,Jul 1997 - Dec 2023
114,Chou Dokyuu Shoujo 4946,4856,Manga,"6",Mar 2009 - Jul 2011,4735,https://myanimelist.net/manga/14664/Chou_Dokyuu_Shoujo_4946,https://cdn.myanimelist.net/r/100x140/images/manga/3/65153.jpg?s=7db6feb73a881b41bca625b933cbbee0,7.28,Mar 2009 - Jul 2011
115,InuYasha,1065,Manga,"56",Nov 1996 - Jun 2008,63142,https://myanimelist.net/manga/676/InuYasha,https://cdn.myanimelist.net/r/100x140/images/manga/3/262295.jpg?s=d71beac1bddb6244f1931d67463d4088,7.86,Nov 1996 - Jun 2008
116,Yurikamone,15620,Doujinshi,"1",Aug 2013 - Aug 2013,593,https://myanimelist.net/manga/63779/Yurikamone,https://cdn.myanimelist.net/r/100x140/images/manga/3/110283.jpg?s=e7b3772fdbfdcaaaf297bb4f9c45488b,6.42,Aug 2013 - Aug 2013
117,Girls & Panzer,4875,Manga,"4",Jun 2012 - Mar 2014,5659,https://myanimelist.net/manga/42223/Girls___Panzer,https://cdn.myanimelist.net/r/100x140/images/manga/3/271627.jpg?s=b7a128365a9dfe5bf655c8085e3d3003,7.28,Jun 2012 - Mar 2014
118,Nidome no Yuusha wa Fukushuu no Michi wo Warai Ayumu,14229,Manga,?,Feb 2018 -,15210,https://myanimelist.net/manga/112894/Nidome_no_Yuusha_wa_Fukushuu_no_Michi_wo_Warai_Ayumu,https://cdn.myanimelist.net/r/100x140/images/manga/3/211198.jpg?s=ad3c38651ce6a72e68c805740ca3ed47,6.56,Feb 2018 - Dec 2023
119,True Love,5084,Manga,"7",Dec 2012 - Jan 2015,7864,https://myanimelist.net/manga/47549/True_Love,https://cdn.myanimelist.net/r/100x140/images/manga/2/138497.jpg?s=ecde1512a5958157458cf0fd3a4cf2e5,7.26,Dec 2012 - Jan 2015
120,Himitsu no Juliet,7437,Manga,"2",May 2015 - Jan 2016,461,https://myanimelist.net/manga/90696/Himitsu_no_Juliet,https://cdn.myanimelist.net/r/100x140/images/manga/3/174436.jpg?s=3b723f0aa6710ce3b00e10d2aab241f7,7.07,May 2015 - Jan 2016
121,Angel no Oka,14795,Manga,"2",Jan 1960 - Dec 1961,1260,https://myanimelist.net/manga/22195/Angel_no_Oka,https://cdn.myanimelist.net/r/100x140/images/manga/1/73093.jpg?s=924e9e4501c45fb469ce1ca75a1485b8,6.51,Jan 1960 - Dec 1961
122,Charlotte,1388,Manga,"6",Jul 2015 - Dec 2018,10594,https://myanimelist.net/manga/91913/Charlotte,https://cdn.myanimelist.net/r/100x140/images/manga/1/188823.jpg?s=bfef1f6c7121ab368d1db35311760b63,7.77,Jul 2015 - Dec 2018
123,Honey Coming: Sweet Love Lesson,8765,Manga,"3",Feb 2007 - Oct 2008,1138,https://myanimelist.net/manga/11081/Honey_Coming__Sweet_Love_Lesson,https://cdn.myanimelist.net/r/100x140/images/manga/2/14975.jpg?s=c58a3d72a1c9f3e595b1c13af7a226d8,6.98,Feb 2007 - Oct 2008
125,Oboreru Knife,609,Manga,"17",Oct 2004 - Dec 2013,6945,https://myanimelist.net/manga/10330/Oboreru_Knife,https://cdn.myanimelist.net/r/100x140/images/manga/1/196138.jpg?s=55360a02008d524ee1b3a22f821d543a,8.07,Oct 2004 - Dec 2013
126,Blood-C: The Last Dark,6495,Light-Novel,"1",Jun 2012 - Jun 2012,774,https://myanimelist.net/manga/37473/Blood-C__The_Last_Dark,https://cdn.myanimelist.net/r/100x140/images/manga/3/67363.jpg?s=a4d77cba2bd9481fdbda3cf56bc7cd00,7.14,Jun 2012 - Jun 2012
127,Sekai wa Nakajima ni Koi wo Suru!!,8592,Manga,"5",Jan 2016 - Jan 2017,636,https://myanimelist.net/manga/95499/Sekai_wa_Nakajima_ni_Koi_wo_Suru,https://cdn.myanimelist.net/r/100x140/images/manga/3/179272.jpg?s=53b56108dcf25f18f2a73b526390515a,7.0,Jan 2016 - Jan 2017
128,Sekirara ni Kiss,6716,Manga,"9",Apr 2015 - May 2019,10636,https://myanimelist.net/manga/88987/Sekirara_ni_Kiss,https://cdn.myanimelist.net/r/100x140/images/manga/1/165026.jpg?s=f1f4adc008d807e11cc032406d35b615,7.13,Apr 2015 - May 2019
129,Kokuen no Valkyrie,17540,Manga,"3",Aug 2018 - May 2020,770,https://myanimelist.net/manga/117591/Kokuen_no_Valkyrie,https://cdn.myanimelist.net/r/100x140/images/manga/3/224717.jpg?s=9817f76e8a2f749c0250216bd141c63e,5.82,Aug 2018 - May 2020
130,DVD,4547,Manhwa,"8",Dec 2003 - Dec 2005,892,https://myanimelist.net/manga/750/DVD,https://cdn.myanimelist.net/r/100x140/images/manga/1/30185.jpg?s=0e0dc11274a444abd02d9a9b91f83e2a,7.31,Dec 2003 - Dec 2005
131,Oyayubi Hime,14939,Manga,"1",May 2010 - May 2010,424,https://myanimelist.net/manga/44175/Oyayubi_Hime,https://cdn.myanimelist.net/r/100x140/images/manga/2/169031.jpg?s=349f0e59c03d9cc40255add44ad85a4d,6.5,May 2010 - May 2010
132,Aisopos,6102,Manhwa,?,Jul 2013 - Aug 2016,1307,https://myanimelist.net/manga/94493/Aisopos,https://cdn.myanimelist.net/r/100x140/images/manga/3/182690.jpg?s=5ef51e78e8fd8c4dbd695355f057bd12,7.18,Jul 2013 - Aug 2016
133,Izayakaku,6557,Manga,"4",Sep 2008 - Nov 2010,1208,https://myanimelist.net/manga/14860/Izayakaku,https://cdn.myanimelist.net/r/100x140/images/manga/2/172751.jpg?s=4436bcfc6e66b98ed2659d1efd1ee965,7.14,Sep 2008 - Nov 2010
134,Mikazuki Kottouhinten no Kanban Neko,14062,Manga,"1",Apr 2017 - Aug 2017,617,https://myanimelist.net/manga/110993/Mikazuki_Kottouhinten_no_Kanban_Neko,https://cdn.myanimelist.net/r/100x140/images/manga/2/224280.jpg?s=64b500da31daa624ccb657c73d7e0d90,6.58,Apr 2017 - Aug 2017
135,Sensei no Sensei,6238,Manga,"1",Sep 2019 - Feb 2020,615,https://myanimelist.net/manga/127311/Sensei_no_Sensei,https://cdn.myanimelist.net/r/100x140/images/manga/3/236268.jpg?s=b792b8b6b47519cdecf820fdd89a4b6a,7.16,Sep 2019 - Feb 2020
137,"Isekaigaeri no Motoyuusha desu ga, Death Game ni Makikomaremashita",15472,Manga,?,Jul 2021 -,839,https://myanimelist.net/manga/140568/Isekaigaeri_no_Motoyuusha_desu_ga_Death_Game_ni_Makikomaremashita,https://cdn.myanimelist.net/r/100x140/images/manga/1/253680.jpg?s=79e47f5dfa7bc05e7281c85ca53556b1,6.43,Jul 2021 - Dec 2023
138,Ar Tonelico II,11871,Manga,"3",Jun 2007 - Jun 2008,805,https://myanimelist.net/manga/12797/Ar_Tonelico_II,https://cdn.myanimelist.net/r/100x140/images/manga/1/17786.jpg?s=98f56af60cd29a107656f6f512936262,6.76,Jun 2007 - Jun 2008
139,Seigi Kenkyuukai Serenade,11521,Manga,"3",Aug 2007 - Nov 2008,476,https://myanimelist.net/manga/6839/Seigi_Kenkyuukai_Serenade,https://cdn.myanimelist.net/r/100x140/images/manga/1/173760.jpg?s=153cc26290359874d35f295156f1b6ed,6.78,Aug 2007 - Nov 2008
140,Hatsukanezumi no Jikan,8053,Manga,"4",Jul 2004 - Feb 2008,3835,https://myanimelist.net/manga/3105/Hatsukanezumi_no_Jikan,https://cdn.myanimelist.net/r/100x140/images/manga/2/3560.jpg?s=a877c621586fc171f93be4af996f42b4,7.03,Jul 2004 - Feb 2008
141,Hitohira no Koi ga Furu,5754,Manga,"3",Dec 2006 - Feb 2008,1154,https://myanimelist.net/manga/4640/Hitohira_no_Koi_ga_Furu,https://cdn.myanimelist.net/r/100x140/images/manga/1/5718.jpg?s=4a09e7e14a207e66c78fdbcce04ccdd3,7.2,Dec 2006 - Feb 2008
142,Isshunsaki wa Koi,13119,One-shot,?,Oct 2011 - Oct 2011,413,https://myanimelist.net/manga/47058/Isshunsaki_wa_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/3/82986.jpg?s=3665f564cac475d666ffb95152d98d5f,6.66,Oct 2011 - Oct 2011
143,The Grand Duchess of the North Was Secretly a Villainess,13665,Manhwa,?,May 2022 -,683,https://myanimelist.net/manga/151446/The_Grand_Duchess_of_the_North_Was_Secretly_a_Villainess,https://cdn.myanimelist.net/r/100x140/images/manga/1/268622.jpg?s=f8433ee62f333f692e406ae477aef42d,6.61,May 2022 - Dec 2023
144,E→Robot,17258,Manga,"2",Nov 2014 - Feb 2015,557,https://myanimelist.net/manga/83097/E→Robot,https://cdn.myanimelist.net/r/100x140/images/manga/2/153555.jpg?s=577511c911be62b3aa1f2f9a4f808db0,6.04,Nov 2014 - Feb 2015
145,Limit Breaker,13248,Manhwa,?,Nov 2020 -,3363,https://myanimelist.net/manga/147508/Limit_Breaker,https://cdn.myanimelist.net/r/100x140/images/manga/1/261660.jpg?s=696107ece1f8d2e64b7d2490b7e8ec0e,6.65,Nov 2020 - Dec 2023
146,Fukanzen Shinsei Kikan Ilis,9405,Manga,"1",Jul 2012 - Dec 2012,1104,https://myanimelist.net/manga/43553/Fukanzen_Shinsei_Kikan_Ilis,https://cdn.myanimelist.net/r/100x140/images/manga/2/87361.jpg?s=252b5ad5d9f1051683c4a436e7747c33,6.94,Jul 2012 - Dec 2012
148,Absolute Duo: Tea Party,12397,Manga,"1",Oct 2014 - Dec 2014,709,https://myanimelist.net/manga/87720/Absolute_Duo__Tea_Party,https://cdn.myanimelist.net/r/100x140/images/manga/3/152728.jpg?s=6847476a18a96e71484c23fd9aad3b2c,6.72,Oct 2014 - Dec 2014
149,"Kougekiryoku Kyokuburi no Saikyou Majutsushi: Kinryokuchi 9999 no Daikenshi, Tensei shite Nidome no Jinsei wo Ayumu",12771,Manga,?,Jun 2021 -,533,https://myanimelist.net/manga/141596/Kougekiryoku_Kyokuburi_no_Saikyou_Majutsushi__Kinryokuchi_9999_no_Daikenshi_Tensei_shite_Nidome_no_Jinsei_wo_Ayumu,https://cdn.myanimelist.net/r/100x140/images/manga/3/253535.jpg?s=cafdf405c992661d31fafb050de25c64,6.69,Jun 2021 - Dec 2023
150,Tsugihagi na Kanojo,16654,Manga,?,Feb 2013 - Apr 2013,1113,https://myanimelist.net/manga/82093/Tsugihagi_na_Kanojo,https://cdn.myanimelist.net/r/100x140/images/manga/1/143141.jpg?s=c40b2a9c8cf28c09f319423d00e03307,6.24,Feb 2013 - Apr 2013
151,Domestic na Kanojo,5964,Manga,"28",Apr 2014 - Jun 2020,115213,https://myanimelist.net/manga/70941/Domestic_na_Kanojo,https://cdn.myanimelist.net/r/100x140/images/manga/1/272186.jpg?s=012e0d9501f3a49883b96ebc9cb2abe0,7.19,Apr 2014 - Jun 2020
152,"Tantei wa Mou, Shindeiru.",1469,Light-Novel,?,Nov 2019 -,6733,https://myanimelist.net/manga/128721/Tantei_wa_Mou_Shindeiru,https://cdn.myanimelist.net/r/100x140/images/manga/1/235054.jpg?s=fd8fcf67b88bf353a6895fa2eb3940aa,7.74,Nov 2019 - Dec 2023
153,Kimi ga Suki toka Arienai,3671,Manga,"3",Feb 2012 - Jun 2013,1033,https://myanimelist.net/manga/39601/Kimi_ga_Suki_toka_Arienai,https://cdn.myanimelist.net/r/100x140/images/manga/2/158109.jpg?s=6c44fb606ca5c68171951f47dadc8f79,7.39,Feb 2012 - Jun 2013
154,Berserk: Shinen no Kami 2,133,One-shot,?,Jul 1996 - Jul 1996,16783,https://myanimelist.net/manga/92299/Berserk__Shinen_no_Kami_2,https://cdn.myanimelist.net/r/100x140/images/manga/1/162254.jpg?s=cb1b51e8073a281f5eb90ddf01f64399,8.51,Jul 1996 - Jul 1996
155,Fairytale of Winter,16143,Manhua,?,Jun 2001 - Jun 2001,730,https://myanimelist.net/manga/23749/Fairytale_of_Winter,https://cdn.myanimelist.net/r/100x140/images/manga/3/38403.jpg?s=df577aa2006143bda550482b5a701cb6,6.34,Jun 2001 - Jun 2001
156,"0/6",17674,Manhwa,"5",Jan 2006 - Dec 2006,1056,https://myanimelist.net/manga/5491/0_6,https://cdn.myanimelist.net/r/100x140/images/manga/5/30274.jpg?s=5473ba4bdec296633bee49680fbbb559,5.65,Jan 2006 - Dec 2006
158,Inner Beauty,8126,Manhwa,?,Nov 2018 - Jan 2020,479,https://myanimelist.net/manga/125954/Inner_Beauty,https://cdn.myanimelist.net/r/100x140/images/manga/3/259758.jpg?s=01c03f4a2584206d3f1806034a3469e7,7.03,Nov 2018 - Jan 2020
159,One Piece Novel: Mugiwara Stories,8677,Light-Novel,"1",Jul 2017 - Nov 2017,682,https://myanimelist.net/manga/110830/One_Piece_Novel__Mugiwara_Stories,https://cdn.myanimelist.net/r/100x140/images/manga/2/232215.jpg?s=6d7a5aad4c86603147998c378413a3e7,6.99,Jul 2017 - Nov 2017
160,Return of the Mad Demon,1664,Manhwa,?,Jul 2021 -,6709,https://myanimelist.net/manga/147577/Return_of_the_Mad_Demon,https://cdn.myanimelist.net/r/100x140/images/manga/3/261793.jpg?s=5e8b0789e3ec01f09a9939e65186c977,7.69,Jul 2021 - Dec 2023
161,Dance with Devils: Blight,11378,Manga,"2",Sep 2015 - May 2016,1991,https://myanimelist.net/manga/93546/Dance_with_Devils__Blight,https://cdn.myanimelist.net/r/100x140/images/manga/1/171062.jpg?s=972377c5f2a603c894a40ffb2b4f8a3e,6.79,Sep 2015 - May 2016
162,Tokyo卍Revengers,876,Manga,"31",Mar 2017 - Nov 2022,216300,https://myanimelist.net/manga/104565/Tokyo卍Revengers,https://cdn.myanimelist.net/r/100x140/images/manga/3/196272.jpg?s=1ab2df87adaaf6b7e92e152c64d230f6,7.93,Mar 2017 - Nov 2022
163,Paradise Residence,13242,Manga,"3",May 2014 - Jan 2016,680,https://myanimelist.net/manga/86934/Paradise_Residence,https://cdn.myanimelist.net/r/100x140/images/manga/1/151006.jpg?s=b4e16800458e6ac58f23f5a8470844c2,6.65,May 2014 - Jan 2016
164,Wizard's Soul: Koi no Jihad,7404,Manga,"4",Jul 2013 - Jul 2015,3008,https://myanimelist.net/manga/56521/Wizards_Soul__Koi_no_Jihad,https://cdn.myanimelist.net/r/100x140/images/manga/3/161439.jpg?s=0e670aef549e728e6936a165e83309d6,7.08,Jul 2013 - Jul 2015
166,Takara no Vidro,5205,Manga,"1",Sep 2020 - Apr 2022,825,https://myanimelist.net/manga/142011/Takara_no_Vidro,https://cdn.myanimelist.net/r/100x140/images/manga/3/265841.jpg?s=853e6ad8bb5a8e878cef138d96a16bd6,7.25,Sep 2020 - Apr 2022
167,Kono Subarashii Sekai ni Shukufuku wo!,78,Light-Novel,"17",Oct 2013 - May 2020,50576,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo,https://cdn.myanimelist.net/r/100x140/images/manga/1/174932.jpg?s=22947fdd654b3ecf5d2a334bb4140ea7,8.62,Oct 2013 - May 2020
168,Hikidashi ni Terrarium,4452,Manga,"1",Mar 2013 - Mar 2013,1898,https://myanimelist.net/manga/59913/Hikidashi_ni_Terrarium,https://cdn.myanimelist.net/r/100x140/images/manga/2/145037.jpg?s=445c0c7a1232e72a7becc8a0df1bc9cc,7.32,Mar 2013 - Mar 2013
169,Crime Crime: Hard Luck Woman,10701,One-shot,?,Mar 2013 - Mar 2013,634,https://myanimelist.net/manga/50125/Crime_Crime__Hard_Luck_Woman,https://cdn.myanimelist.net/r/100x140/images/manga/1/88519.jpg?s=a1a0100197bbaa53c0360d86fc64d4f2,6.85,Mar 2013 - Mar 2013
170,Ikoku Nikki,584,Manga,?,Jun 2017 -,4173,https://myanimelist.net/manga/118804/Ikoku_Nikki,https://cdn.myanimelist.net/r/100x140/images/manga/2/216687.jpg?s=982d4aa68da86c4f3e200dffca167090,8.09,Jun 2017 - Dec 2023
171,Shiawase Kissa 3-choume,462,Manga,"15",Dec 2004 - Aug 2009,18433,https://myanimelist.net/manga/1110/Shiawase_Kissa_3-choume,https://cdn.myanimelist.net/r/100x140/images/manga/3/269706.jpg?s=eb5955621bbaa1cffa9fbcaf7d6a7a5e,8.16,Dec 2004 - Aug 2009
172,Zenaku no Kuzu,13915,Manga,"5",Nov 2013 - Mar 2016,1161,https://myanimelist.net/manga/118955/Zenaku_no_Kuzu,https://cdn.myanimelist.net/r/100x140/images/manga/2/216887.jpg?s=9add8d6c651d1c49d581fa6eacf6e0ce,6.59,Nov 2013 - Mar 2016
174,Koutetsu no Hanappashira,6911,Manga,"9",Sep 2010 - Sep 2012,656,https://myanimelist.net/manga/26446/Koutetsu_no_Hanappashira,https://cdn.myanimelist.net/r/100x140/images/manga/1/42532.jpg?s=c2b73850d59cd0bf484e62d19e7b9657,7.11,Sep 2010 - Sep 2012
176,Biyaku Iri no Cappuccino,14701,Manga,"1",Mar 2008 - Mar 2008,350,https://myanimelist.net/manga/18342/Biyaku_Iri_no_Cappuccino,https://cdn.myanimelist.net/r/100x140/images/manga/1/109561.jpg?s=cdea7f36c47cc64467af71918bd4e28d,6.52,Mar 2008 - Mar 2008
177,"009 Re:Cyborg",10844,Manga,"6",May 2012 - Sep 2015,1082,https://myanimelist.net/manga/42755/009_Re_Cyborg,https://cdn.myanimelist.net/r/100x140/images/manga/3/163640.jpg?s=db8219ea130003fc3310539caccf87b0,6.84,May 2012 - Sep 2015
178,Ore no Kiss dake Oboete yo,9718,Manga,"1",Nov 2021 - Jun 2022,298,https://myanimelist.net/manga/146479/Ore_no_Kiss_dake_Oboete_yo,https://cdn.myanimelist.net/r/100x140/images/manga/3/264553.jpg?s=214f022d71f34802d619d8cc024359d1,6.91,Nov 2021 - Jun 2022
179,Bokura wa Itsumo,3298,Manga,"11",Nov 2007 - Feb 2013,8810,https://myanimelist.net/manga/7220/Bokura_wa_Itsumo,https://cdn.myanimelist.net/r/100x140/images/manga/1/219796.jpg?s=c6c2e7428be1244706f1ecdf359061fd,7.44,Nov 2007 - Feb 2013
180,Omukae desu.,6373,Manga,"6",Jan 1999 - Apr 2016,1509,https://myanimelist.net/manga/3051/Omukae_desu,https://cdn.myanimelist.net/r/100x140/images/manga/1/190513.jpg?s=438e2bda49391c327cd282c417ce8207,7.15,Jan 1999 - Apr 2016
181,Kyoukoku no Leceld,8128,Manga,"2",Mar 2018 - Jan 2020,278,https://myanimelist.net/manga/127626/Kyoukoku_no_Leceld,https://cdn.myanimelist.net/r/100x140/images/manga/1/231372.jpg?s=d97168c26cf259775e51cfdc659f60a7,7.03,Mar 2018 - Jan 2020
182,Planet With,6415,Manga,"8",Apr 2018 - Jul 2022,1356,https://myanimelist.net/manga/113458/Planet_With,https://cdn.myanimelist.net/r/100x140/images/manga/1/210430.jpg?s=1110836fa2ccc8c98f9d21a2d547ac56,7.15,Apr 2018 - Jul 2022
183,Chocolate Christmas,13886,Manga,"1",Nov 1987 - Aug 1988,904,https://myanimelist.net/manga/2580/Chocolate_Christmas,https://cdn.myanimelist.net/r/100x140/images/manga/1/202520.jpg?s=c64e89ca8b71a03eda4ee2ab42f50f6d,6.59,Nov 1987 - Aug 1988
184,Haitoku wa Kegarenai,14180,Manga,"1",Nov 2009 - Nov 2009,381,https://myanimelist.net/manga/26007/Haitoku_wa_Kegarenai,https://cdn.myanimelist.net/r/100x140/images/manga/3/108665.jpg?s=9d1bf4275479e5e1ba76988c7fb47170,6.57,Nov 2009 - Nov 2009
185,Our Time of Dawn,14608,One-shot,?,Apr 2011 - Apr 2011,394,https://myanimelist.net/manga/44067/Our_Time_of_Dawn,https://cdn.myanimelist.net/r/100x140/images/manga/2/77697.jpg?s=9a0a5c32c772319925bcb65cc83e9436,6.53,Apr 2011 - Apr 2011
186,Oniyome wo Metotteshimatta.,15345,Manga,?,Jul 2019 - Nov 2019,2305,https://myanimelist.net/manga/123051/Oniyome_wo_Metotteshimatta,https://cdn.myanimelist.net/r/100x140/images/manga/3/224415.jpg?s=8a3344ff4622e7a2fd26bccf2281af93,6.45,Jul 2019 - Nov 2019
187,Sword Art Online: Girls Ops,5822,Manga,"8",Jun 2013 - Jan 2021,4741,https://myanimelist.net/manga/55875/Sword_Art_Online__Girls_Ops,https://cdn.myanimelist.net/r/100x140/images/manga/3/156370.jpg?s=97f85d2b31490ea3d364b15f0f7b0238,7.2,Jun 2013 - Jan 2021
188,Peace no Oshigoto,16147,One-shot,?,Apr 2011 - Apr 2011,508,https://myanimelist.net/manga/41521/Peace_no_Oshigoto,https://cdn.myanimelist.net/r/100x140/images/manga/2/72715.jpg?s=90cce8582253f3e05f41bb7c22f2285e,6.34,Apr 2011 - Apr 2011
189,Joshikousei ni Korosaretai,15224,Manga,"2",Oct 2013 - Jul 2016,2880,https://myanimelist.net/manga/83267/Joshikousei_ni_Korosaretai,https://cdn.myanimelist.net/r/100x140/images/manga/1/171065.jpg?s=2ba2621d444a1cf259e1d035f86a46a1,6.47,Oct 2013 - Jul 2016
190,Angolmois: Genkou Kassenki,6565,Manga,"10",Feb 2013 - Aug 2018,1887,https://myanimelist.net/manga/96437/Angolmois__Genkou_Kassenki,https://cdn.myanimelist.net/r/100x140/images/manga/3/172186.jpg?s=cd917ba643760db7cf665786117aeb6f,7.14,Feb 2013 - Aug 2018
192,Usotsuki Lily 0,4306,Manga,"1",Mar 2011 - Mar 2011,1989,https://myanimelist.net/manga/24859/Usotsuki_Lily_0,https://cdn.myanimelist.net/r/100x140/images/manga/2/39997.jpg?s=cbeafc54b650e2049977b5a24269393f,7.33,Mar 2011 - Mar 2011
193,Ichigo Jikan,3900,Manga,"2",Jan 2009 - Jun 2009,6004,https://myanimelist.net/manga/13281/Ichigo_Jikan,https://cdn.myanimelist.net/r/100x140/images/manga/1/175425.jpg?s=f3dccb03c53c0d2b2e9d710bd825d230,7.37,Jan 2009 - Jun 2009
194,Denpa Onna to Seishun Otoko,6485,Manga,"4",Aug 2010 - Jul 2013,2788,https://myanimelist.net/manga/26280/Denpa_Onna_to_Seishun_Otoko,https://cdn.myanimelist.net/r/100x140/images/manga/3/136111.jpg?s=d8b881ab0e48d2bf4cf111f39aac4691,7.14,Aug 2010 - Jul 2013
195,Star Light Woman,12851,Manga,"2",Sep 2013 - Apr 2014,535,https://myanimelist.net/manga/66271/Star_Light_Woman,https://cdn.myanimelist.net/r/100x140/images/manga/2/129177.jpg?s=1fb5e364f8e13c6fcb1961c12a34fe9b,6.68,Sep 2013 - Apr 2014
196,Lucifer no Migite,6273,Manga,"6",Feb 2010 - Sep 2011,1729,https://myanimelist.net/manga/21583/Lucifer_no_Migite,https://cdn.myanimelist.net/r/100x140/images/manga/2/110209.jpg?s=e62b25475381234695f3b5376da8de8e,7.16,Feb 2010 - Sep 2011
197,Hige wo Soru. Soshite Joshikousei wo Hirou.: Each Stories,11971,Manga,"2",Mar 2021 - Dec 2021,553,https://myanimelist.net/manga/140307/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou__Each_Stories,https://cdn.myanimelist.net/r/100x140/images/manga/2/250178.jpg?s=6a4ef169485c090d5de7d2b534885e5a,6.75,Mar 2021 - Dec 2021
198,"""Kukuku....... Yatsu wa Shitennou no Naka demo Saijaku"" to Kaiko sareta Ore, Naze ka Yuusha to Seijo no Shishou ni Naru",13809,Manga,?,Feb 2021 -,1315,https://myanimelist.net/manga/138562/Kukuku_Yatsu_wa_Shitennou_no_Naka_demo_Saijaku_to_Kaiko_sareta_Ore_Naze_ka_Yuusha_to_Seijo_no_Shishou_ni_Naru,https://cdn.myanimelist.net/r/100x140/images/manga/1/250718.jpg?s=048997aee7da74d0edcf5b2041f1e939,6.6,Feb 2021 - Dec 2023
200,Bimajo no Ayano-san,13355,Manga,"2",Mar 2018 - May 2019,3192,https://myanimelist.net/manga/117310/Bimajo_no_Ayano-san,https://cdn.myanimelist.net/r/100x140/images/manga/1/215050.jpg?s=baeb6e4a12b2515d7878d7218883d28f,6.64,Mar 2018 - May 2019
201,Suzuka,1033,Manga,"18",Feb 2004 - Sep 2007,48269,https://myanimelist.net/manga/430/Suzuka,https://cdn.myanimelist.net/r/100x140/images/manga/2/184775.jpg?s=57bcf6ad404bf6d31f1257369b22b184,7.87,Feb 2004 - Sep 2007
202,Kami nomi zo Shiru Sekai,157,Manga,"26",Apr 2008 - Apr 2014,107462,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai,https://cdn.myanimelist.net/r/100x140/images/manga/2/188974.jpg?s=7be486fe9d85ff483213b40f52da4bf1,8.47,Apr 2008 - Apr 2014
203,Kuroshitsuji,196,Manga,?,Sep 2006 -,153545,https://myanimelist.net/manga/3866/Kuroshitsuji,https://cdn.myanimelist.net/r/100x140/images/manga/3/248448.jpg?s=e24a606942c584a8b3435405da319d0a,8.41,Sep 2006 - Dec 2023
204,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,8516,Manga,"6",Oct 2019 - Jan 2023,7769,https://myanimelist.net/manga/125530/Ningen_Fushin_no_Boukensha-tachi_ga_Sekai_wo_Sukuu_you_desu,https://cdn.myanimelist.net/r/100x140/images/manga/2/230022.jpg?s=3b8a68e3150056aca1f38693ee613616,7.0,Oct 2019 - Jan 2023
205,Idol wa xxxx nante Shimasen!,13627,Manga,"3",Jan 2012 - Nov 2013,636,https://myanimelist.net/manga/39425/Idol_wa_xxxx_nante_Shimasen,https://cdn.myanimelist.net/r/100x140/images/manga/1/161250.jpg?s=88c7cbf2cf1536ef9ab470d4af28b26e,6.62,Jan 2012 - Nov 2013
206,The Quiz,17678,Manga,"1",May 2011 - Jan 2012,1770,https://myanimelist.net/manga/48629/The_Quiz,https://cdn.myanimelist.net/r/100x140/images/manga/3/90035.jpg?s=de9369b7a4e5e6f7a2c122b237bdeb8e,5.65,May 2011 - Jan 2012
207,"Seichou Cheat de Nandemo Dekiruyou ni Natta ga, Mushoku dake wa Yamerarenai you desu",13521,Manga,?,Nov 2017 -,7081,https://myanimelist.net/manga/111287/Seichou_Cheat_de_Nandemo_Dekiruyou_ni_Natta_ga_Mushoku_dake_wa_Yamerarenai_you_desu,https://cdn.myanimelist.net/r/100x140/images/manga/1/208244.jpg?s=35f893765b9873ad7b0c334be88b1d7f,6.62,Nov 2017 - Dec 2023
